ID,title,author,translator,categoryID,price,publisher,publishYear,numOfPages,weight (g),soldAmount,stockQuantity
1,Destination C1 And C2 - Grammar And Vocabulary with Answer Key,"Malcolm Mann, Steve Taylore-Knowles",Nguy?n Thanh Vân,3,"142,000",H?ng Ð?c,2023,302,678,0,50
2,"Muôn Ki?p Nhân Sinh - Many Times, Many Lives - T?p 3",Nguyên Phong,,1,"152,000",T?ng H?p Thành Ph? H? Chí Minh,2023,464,582,0,50
3,Tâm Lý H?c T?i Ph?m - Phác H?a Chân Dung K? Ph?m T?i,Di?p H?ng Vu,"	Ð? Ái Nhi",8,"109,000","	NXB Thanh Niên",2021,280,300,0,50
4,Tu Duy Nhanh Và Ch?m (Tái B?n 2021),Daniel Kahneman,Huong Lan-Xuân Thanh,8,"175,000",NXB Th? Gi?i,2021,612,350,0,50
5,Truy?n Tranh Phát Tri?n Tu Duy Cho Bé,"Mom, Khanh Vu",,4,"134,000","	Lao Ð?ng",2021,208,250,0,50
6,Truy?n Tranh C? Tích Vi?t Nam - T?m Cám,"Búp Trên Cành, Kim Du?n",,4,"32,000",Ph? N? Vi?t Nam,2023,34,100,0,50
7,Truy?n Tranh C? Tích Vi?t Nam - Cây Kh?,"Búp Trên Cành, Kim Du?n",,4,"21,000",Ph? N? Vi?t Nam,2023,22,100,0,50
8,Truy?n Tranh C? Tích Vi?t Nam - S? D?a,"Búp Trên Cành, Kim Du?n",,4,"21,000",Ph? N? Vi?t Nam,2023,22,100,0,50
9,Blockchain Co B?n,Daniel Drescher,H? Ð?c Phuong,7,"144,000",Hà N?i,2023,376,650,0,50
10,Blockchain - Kh?i Ngu?n Cho M?t N?n Kinh T? M?i,Melanie Swan,LeVN,7,"149,000",NXB Ð?i H?c Kinh T? Qu?c Dân,2018,228,350,0,50
11,"Metarvese - Cu?c Cách M?ng Ti?p N?i Blocchain, Nft Và Ti?n Ði?n T?",Agnes Blevinsson,"	1980Books",7,"100,000","	Dân Trí",2022,236,250,0,50
12,Khoa H?c C?c Ng?u (Tái B?n 2020),Daniel Tatarsky,"Nguy?n Hoài Anh, Bùi M?nh Chi?n",7,"71,000",NXB Th? Gi?i,2020,112,147,0,50
13,T? Sách Bách Khoa Tri Th?c - Bách Khoa Tri Th?c Cho Tr? Em,Nhi?u Tác Gi?,B?o Ly,5,"196,000",NXB Thanh Niên,2022,224,675,0,50
14,Bách Khoa Tri Th?c - Khám Phá Ð?i Duong,"Bramblekids, David Mostyn",Ph?m Danh Vi?t,5,"33,500",NXB Dân Trí,2022,46,150,0,50
15,Bách Khoa Tri Th?c - Khám Phá Công Ngh?,"Bramblekids, David Mostyn",Ph?m Danh Vi?t,5,"33,500",NXB Dân Trí,2022,46,150,0,50
16,Bách Khoa Tri Th?c Nhân Lo?i (Tái B?n 2023),Nhi?u Tác Gi?,Nguy?n Th? Phuong Qu?nh,5,"164,000",Ph? N? Vi?t Nam,2023,384,1300,0,50
17,Ng?y K? Trong Kinh T?,Chu Thành Long,Lê Ti?n Thành,6,"68,500",H?ng Ð?c,2019,232,260,0,50
18,N?n Kinh T? Chia S?,Robin Chase,Mai,6,"139,500",NXB Công Thuong,2021,364,450,0,50
19,Tôn Giáo Và Công B?ng Kinh T?,Michael Zweig,Nhi?u D?ch Gi?,6,"262,000","	Chính Tr? Qu?c Gia S? Th?t",2022,422,595,0,50
20,Kinh T? H?c Vi Mô (Tái B?n 2024),N. Gregory Mankiw,"	Khoa Kinh T? Tru?ng DHKT TP.HCM",6,"245,000",H?ng Ð?c,2024,596,730,0,50
21,T? Sách B?i Du?ng K? Nang S?ng - K? Nang T? Thoát Hi?m,Bích Ng?c,,8,"30,000",Van H?c,2024,59,100,0,50
22,?ng X? Và Giao Ti?p - K? Nang S?ng Cho H?c Sinh,Intimate Sister,Huong Huong,8,"42,000",NXB Ph? N?,2019,120,150,0,50
23,K? Nang S?ng Dành Cho H?c Sinh - Lòng Bi?t On,Ng?c Linh,,8,"44,000",NXB Th? Gi?i,2018,160,200,0,50
24,K? Nang S?ng - Cách Ð? Tr? Thành Ngu?i Yêu Lí Tu?ng,Lê Quang,,8,"52,500",NXB H?ng Ð?c,2020,198,200,0,50
25,Y H?c S?c Kh?e - Tâm B?nh H?c,Ph?m Toàn,,9,"119,000",NXB Tr?,2020,544,550,0,50
27,Y H?c S?c Kh?e - Thai K? Kh?e M?nh - Vu?t C?n Bình An,TS BS Bùi Chí Thuong,,9,"64,000",NXB Tr?,2020,178,200,0,50
28,B? Sách Ung Thu - Tin Ð?n Và S? Th?t (B? 2 Cu?n),Ruy Bang Tím,,9,"224,000","	NXB Dân Trí",2021,,600,0,50
29,Lý Thuy?t Trò Choi,Tr?n Phách Hàm,Vu Vu,8,"125,000",Dân Trí,2023,320,340,0,50
30,Mindset For IELTS Level 1 Student’s Book With Updated Digital Pack,Cambridge University Press,,3,"383,000",Cambridge University Press,2023,188,300,0,50
31,Essential Words For The Toeic 6th (Tái B?n 2019),Dr Lin Lougheed,,3,"185,500",NXB T?ng H?p TPHCM,2019,436,705,0,50
32,7 Thói Quen Ð? Tr? H?nh Phúc (Song Ng?) (Tái B?n 2022),Sean Covey,,8,"99,000",NXB T?ng H?p TPHCM,2022,112,380,0,50
33,Tr? V? T? X? Tuy?t (Tái B?n 2019),Nguyên Phong,,8,"72,000",NXB T?ng H?p TPHCM,2019,232,250,0,50
34,Phuong Thang Y H?c C? Truy?n,DS.Tào Duy C?n - THS. Hoàng Tr?ng Quang,,9,"465,000",NXB Ðà N?ng,2019,1338,1800,0,20
35,S?ng Là Chính Mình Gi?a Ð?i Muôn Hình (Tái B?n 2023),Sbooks,,8,"44,000",Dân Trí,2023,232,250,0,30
36,Làm Th? Nào Ð? Nuôi D?y Con Thành Công,Estter Wojcicki,,1,"94,000",NXB Ph? N?,2020,347,495,0,30
37,M?t Phút V?i Steve Jobs,Kuwabara Teruya,,6,"52,500",NXB Ph? N?,2018,200,200,0,30
38,Thay Ð?i Câu H?i Thay Ð?i Cu?c Ð?i (Tái B?n),Ti?n S? Marilee Adams,Qu? Huong,8,"55,000",Lao Ð?ng,2022,240,280,0,30
39,Phuong Pháp Giáo D?c Con C?a Ngu?i Do Thái - Giúp Tr? T? Tin Bu?c Vào Cu?c S?ng,Hà Minh,Thanh Nhã,2,"51,000",NXB Ph? N? Vi?t Nam,2022,244,270,0,20
40,Hackers Ielts - Speaking (Tái B?n 2022),Hackers,Nhóm d?ch DHL,3,"149,000",Th? Gi?i,2022,412,340,0,30
41,Putin - Logic C?a Quy?n L?c - Putin: Innenansichten Der Macht,Hubert Seipel,Phan Xuân Loan,2,"131,000",NXB T?ng H?p TPHCM,2020,384,400,0,30
42,Ðánh Th?c Con Ngu?i Phi Thu?ng Trong B?n (Bìa C?ng),Anthony Robbins,Tribooker,8,"162,000",NXB T?ng H?p TPHCM,2021,352,800,0,30
43,Destination B1 - Grammar And Vocabulary with Answer Key (Tái b?n 2024),"Malcome Mann, Steve Taylore-Knowles",Nguy?n Thanh Vân,3,"145,000",H?ng Ð?c,2024,248,268,0,30
44,Ð?c Nhân Tâm (Tái B?n 2021),Dale Carnegie,Nguy?n Van Phu?c,8,"63,000",NXB T?ng H?p TPHCM,2021,320,395,0,30
45,"Muôn Ki?p Nhân Sinh - Many Times, Many Lives - T?p 2 (Kh? Nh?)",Nguyên Phong,,1,"108,000",NXB T?ng H?p TPHCM,2021,672,471,0,50
46,S?c M?nh Ti?m Th?c (Tái B?n 2021),Joseph Murphyc,"Bùi Thanh Châu, Mai Son",8,"97,000",NXB T?ng H?p TPHCM,2021,335,381,0,50
47,T?t ? Làng Ð?a Ng?c,Th?o Trang,,1,"121,500",NXB Thanh Niên,2022,544,650,0,30
48,"Thiên Tài Bên Trái, K? Ðiên Bên Ph?i (Tái B?n 2021)",Cao Minh,Thu Huong,8,"131,000",NXB Th? Gi?i,2021,424,450,0,30
49,Không Di?t Không Sinh Ð?ng S? Hãi (Tái B?n 2022),Thích Nh?t H?nh,,1,"77,000",Th? Gi?i,2022,224,250,0,30
50,3 Ngu?i Th?y Vi Ð?i - Câu Chuy?n Ð?c Bi?t V? Cách S?ng Theo Nh?ng Gì Mình Mong Mu?n (Tái B?n),Robin Sharma,"	Nguy?n Xuân H?ng",8,"88,000",Lao Ð?ng,2022,348,325,0,30
51,Trên Ðu?ng Bang (Tái B?n 2022),Tony Bu?i Sáng,,8,"86,000",NXB Tr?,2022,308,350,0,30
52,Cà Phê Cùng Tony (Tái B?n 2022),Tony Bu?i Sáng,,8,"86,000",NXB Tr?,2022,268,215,0,30
53,12 Quy Lu?t Cu?c Ð?i: Th?n Du?c Cho Cu?c S?ng Hi?n Ð?i,Jordan B Peterson,Bùi C?m Tú,8,"210,000",NXB Th? Gi?i,2020,496,500,0,30
54,Toàn Thu Chiêm Tinh H?c Nh?p Môn,Joanna Martine Woolfolk,,1,"245,000",NXB Th? Gi?i,2020,508,500,0,20
55,30 Tu?i - M?i Th? Ch? M?i B?t Ð?u,Lý Thu?ng Long,,8,"87,000",Dân Trí,2023,332,350,0,20
56,Truy?n Tranh Ng? Ngôn La Fontaine,"H?i Minh, T-Books",,4,"51,000",Ph? N? Vi?t Nam,2023,120,155,0,30
57,T? Sách Truy?n Tranh C? Tích Vi?t Nam - Th?ch Sanh,Nguy?n M?nh Thái,,4,"13,000",M? Thu?t,2022,28,50,0,40
58,Truy?n Tranh L?ch S? - Quang Trung Ð?i Phá Quân Thanh,Luong Th? Thúy Ki?u,,4,"19,000",Giáo D?c Vi?t Nam,2017,27,100,0,30
59,Quiz! Khoa H?c Kì Thú - Các Nhà Khoa H?c Thiên Tài,"Joo, Seong Yoon",Ng?c Anh,7,7,Kim Ð?ng,2021,152,200,0,30
60,Tí Toáy Khoa H?c,DK - Jane Bull,Tr?n Mai Loan,7,"86,000",Thanh Niên,2021,60,100,0,30
61,Bên L? Khoa H?c,Truong Van Tân,,7,"124,000",T?ng h?p TP.HCM,2019,415,420,0,30
62,Bi?t Ð?i Khoa H?c N?p ? Ðâu? ?ng D?ng Khoa H?c Gi?a Ð?i Thu?ng.,"Kim Hankinson, Jenny Jacoby",Kim Nguu,7,"53,000",Ph? N? Vi?t Nam,2024,32,100,0,30
63,Bí ?n Sun Down,Simone ST James,Thu Vân,7,"120,000",Thanh Niên,2022,527,575,0,30
64,Bí ?n Mãi Mãi Là Bí ?n - S? S?ng Và Cái Ch?t,Tony Hung,,7,"45,000",Ph? N? Vi?t Nam,2022,158,196,0,30
65,Nh?ng Bí ?n Sinh Gi?i,Nguy?n Lân Dung,,7,"94,000",Khoa H?c K? Thu?t,2024,214,230,0,30
66,Sticker Khám Phá Th? Gi?i - UFO - Ngu?i Ngoài Hành Tinh,H?nh Lâm,,7,"27,000",H?ng Ð?c,2020,16,100,0,30
67,10 V?n Câu H?i Vì Sao? - Khám Phá Th? Gi?i Th?c V?t,Ð? Ð?c,,7,"52,000",Thanh Niên,2022,135,178,0,30
68,10 V?n Câu H?i Vì Sao? - Khám Phá Th? Gi?i Ð?ng V?t,Ð? Ð?c,,7,"52,000",Thanh Niên,2022,135,184,0,30
69,Big Bang - Bách Khoa Và Khám Phá - Th? Gi?i Kh?ng Long,Laura Baker,Luu Tu?n Vu,7,"65,000",Ð?i H?c Qu?c Gia Hà N?i,2023,132,300,0,30
70,Nh?ng Bí ?n Trên Th? Gi?i Chua Ðu?c Gi?i Ðáp - Bìa C?ng (Tái B?n 2023),Nguy?n Van Huân,,7,"105,000",Dân Trí,2023,452,650,0,30
71,Bí ?n Hu?ng N?i - T?p 2 - Ôm L?y Th? Gi?i B?ng M?t Trái Tim Hu?ng N?i,Dear Introvert,,7,"62,000",Ph? N? Vi?t Nam,2024,152,170,0,30
72,Sticker Bu?c Vào Th? Gi?i Thiên Nhiên K? Thú - T?p 1 - Thám Hi?m Ð?m L?y Bí ?n,Beiing Little Red Flower Studio,Thanh Thúy,7,"44,000",Thanh Niên,2023,20,150,0,30
73,Stephen Hawking - Ngu?i Gi?i Mã Nh?ng Bí ?n V? Vu Tr? - Tuy?n T?p Truy?n Tranh Danh Nhân Th? Gi?i,nhi?u tác gi?,,7,"30,000",M? Thu?t,2019,38,200,0,30
74,Sách Kh?ng L? M? Ra Th? Gi?i Bí ?n Du?i Lòng Ð?t,"Štepánka Sekaninová, Marta Daeuble",Minh Trang,7,"80,000",Thanh Niên,2022,48,300,0,30
75,Nh?ng Bí ?n Trên Th? Gi?i Chua Ðu?c Gi?i Ðáp (Tái B?n 2023),Nguy?n Van Huân,,7,"82,500",Dân Trí,2023,452,470,0,30
76,157 Hi?n Tu?ng Bí ?n Trên Th? Gi?i Chua Ðu?c Gi?i Ðáp (Tái B?n),Nguy?n H?ng Lân,,7,"82,500",H?ng Ð?c,2020,528,540,0,30
77,157 Hi?n Tu?ng Bí ?n Trên Th? Gi?i Chua Ðu?c Gi?i Ðáp (Tái B?n 2023),Nguy?n H?ng Lân,,7,"86,000",H?ng Ð?c,2023,528,540,0,30
78,Bí ?n Nh?ng N?n Van Minh Trên Th? Gi?i,Song Linh,,7,"55,000",H?ng Ð?c,2018,247,250,0,30
79,Bí ?n Nh?ng Hi?n Tu?ng K? L? Trên Th? Gi?i,Song Linh,,7,"50,000",H?ng Ð?c,2018,215,250,0,30
80,109 Hi?n Tu?ng Bí ?n Trên Th? Gi?i (Tái B?n 2024),Minh Th?ng,,7,"79,000",Dân Trí,2024,460,480,0,30
81,Sách Kh?ng L? M? Ra Bí ?n Trong Ðêm,"Helena Haraštová, Jirí Franta",Minh Trang,7,"80,000",Thanh Niên,2022,48,300,0,30
82,Bí ?n Th? Gi?i Kh?ng Long Và Nh?ng Ði?u K? Thú,Song Linh,,7,"51,000",H?ng Ð?c,2018,223,250,0,30
83,Bí ?n Th? Gi?i Loài V?t - Bò Sát & Lu?ng Cu (Tái B?n 2019),"Phùng Duy Tùng, Thu Ngân",,7,"34,000",Kim Ð?ng,2019,44,100,0,30
84,Bí ?n Th? Gi?i Loài V?t - Bò Sát & Lu?ng Cu (Tái B?n 2024),"Phùng Duy Tùng, Thu Ngân",,7,"43,000",Kim Ð?ng,2024,44,215,0,30
85,Bí ?n Th? Gi?i Loài V?t - Thân M?m Và Giáp Xác (Tái B?n 2024),"Phùng Duy Tùng, Thu Ngân",,7,"43,000",Kim Ð?ng,2024,44,215,0,30
